;0;1;2;3;4;5;6;7;8;9;10;11;type
1660;5167.72325461;-2064.16879674;-14476.8480346;4156.77709746;1168.06923572;-6365.76125362;6228.26290047;7289.74031455;-2317.54197055;-682.854796145;-64.8370713457;-1204.04087532;0.0
907;-14241.4477417;14432.653779;-11535.1126773;-3383.85393896;-3778.14462851;6690.29338563;-1861.46736914;-2729.65793022;1152.64722697;-1669.6717025;2032.07571612;-1199.00081855;1.0
1549;793.761809137;6795.73631486;8315.65302608;-5400.54939582;-5557.76813913;-1891.96337161;78.936092335;-665.65740327;-2348.93123326;4550.15634944;911.627697831;-2363.01793645;0.0
941;17135.7646451;-20074.4430314;10456.033269;1072.15221795;4428.48859036;14854.6363273;-369.245797232;4512.27987106;-1747.03486667;313.707028452;-3030.02932172;-156.846110429;1.0
778;-8513.53878167;755.630509966;-19152.3946686;2751.7190181;1004.80069107;-3365.81749999;1389.00160823;6071.59754658;-2283.28711114;-688.232891925;-608.828077269;-1314.12175094;1.0
900;-12516.2935714;-3553.14545223;-11597.3610319;8686.94857518;2964.62046866;6251.68832405;-8503.80449425;-1914.72514831;1822.17782528;-1730.61883441;-6761.8247793;-424.272043994;1.0
1746;-21386.2869733;-1076.22351077;196.457739624;4166.80066732;316.52348788;1504.6008717;-2744.22929854;-3594.56372274;11854.5266658;4696.20241178;2980.34845411;1847.46543297;0.0
868;18106.1855095;722.467442798;-2202.35982578;-3233.60062249;2556.98962288;12096.2121309;-1672.22722787;-1092.77249871;-1702.42659905;2201.5349443;-3942.45927393;-6440.3746806;1.0
1713;19149.8397483;-11346.8894443;12511.6474961;1709.2238582;2149.97210157;5167.54645007;-703.507161514;-7129.66549014;2915.42554263;-1928.77051049;1735.99989649;-2137.7444659;0.0
1538;14859.6561786;-6329.89517375;8056.439444;6779.57013577;942.397398044;-211.960893026;-677.460780165;-4862.44644857;-1672.07609435;8291.8238002;-911.719151796;-1312.18732142;0.0
746;-7869.99083647;10109.3424974;-14049.2748706;6371.43115757;1079.83565478;-6551.30633764;-590.528986567;-3028.30929043;-1456.11722809;3123.63565753;3759.16296983;-606.08639375;1.0
899;-1646.49417263;19724.6043568;-24479.2301012;-7809.22257857;-5543.65959888;6823.30385642;3093.1354897;2140.62051919;-3773.81632181;-262.56375608;-3135.13235701;-9634.20643901;1.0
